id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
33403|Mobile Apps Developer|Denpasar|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|||||General:-. Minimum 1 year working experience in same field-. Willing to work in Bali, IndonesiaJob Description & Skills Needed:-. Ability to develop Apps using React-Native or Flutter programming language-. Ability to learn quickly-. Ability to interpret and follow technical plans-. Developing application programming interfaces (APIs) to support mobile functionality keeping up to date with the terminology, concepts and best practices for coding mobile apps-. Backend web services knowledge-. Complex problem solving-. Organization and ability to multi-task-. Working closely with colleagues to constantly innovate app functionality and design-. Willingness to learn new technology
33404|Content Specialist|Banten|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)||1- 50 pekerja|Pakaian|Kualifikasi:Lulusan S1 jurusan marketing, komunikasi atau sastra inggris.Minimal 1 tahun pengalaman kerja dalam posisi yang sama.Mampu mengoperasikan hootsuite/ instagram analytics Mau ditempatkan di Bintaro, Tangerang Selatan.Skill utama: Digital marketing, copywriting (KBBI dan English) dan  project management, Menguasai kemampuan seorang Socmed Specialist; Mengembangkan ide kreatif, menyusun strategi dan implementasi dalam kegiatan digital marketingMampu memproduksi copywriting dalam berbagai bentuk (judul, tagline, caption, persuasive copy, dsb).Team player, creative thinking, on time dan detail oriented.Tanggung jawab:Merencanakan dan menjalankan semua konten kreatif digital marketing dari Booyah (Instagram, Reels, Tiktok, E-Commerce) Membuat konsep creative konten untuk instagram ads dan facebook adsMembuat konsep campaign digitalKerjasama dengan desain grafis untuk kordinasi kontenBerinteraksi dengan customer (balas komplain, direct message, dan comment) – via whatsappMengatur jadwal endorsement dengan influencersMengembangkan ide kreatif hingga eksekusi photoshoot BooyahMenganalisa kompetitor secara berkalaBekerjasama dengan tim desain graphic dalam menciptakan konten visual yang sesuai dengan look&feel BooyahMenganalisis insight, trend dan perfoma media sosial Booyah dan kompetitorMemberikan referensi konten untuk di develop oleh tim desain graphicMenyusun ide hingga eksekusi photoshoot Jam kerja:Senin- Jumat 09.00 s.d 17.00 WIBHybrid (WFO dan WFH)
33405|Contractor Activation Officer|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Penjualan / Pemasaran,Penjualan - Korporasi|Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Meal allowance, phone reimbursement, maternity benefit|28 days|51 - 200 pekerja|Manufaktur/Produksi|Qualifications :Minimum education level: SMAHaving experience minimum 2 years in sales retail in Paints Company or Building materialPreferably Supervisor/Coordinator specialized in SalesGood leadership & good communication Key ResponsibilitiesThe incumbent has to be a high goal oriented individual who has to build relationship with contractors and convert the contractors to use Asian Paints products.The individual has to lead the business development activities for his assigned geographyThe individual will have to do product trials and demo to prospective customers (contractors and client) and should be aggressive in switching brand.The individual has to exhibit technical competency on waterproofing products and should partner with general contractors to induce trials and force conversions.The individual has to keep identifying new set of contractors and keep adding them to his customer master list and ensure proper tracking mechanism to capture interactions and positive alignments of the identified contractor sets
33406|Engineer Painting Line (Japanese Speaker)|Jakarta Raya|IDR|Supervisor/Koordinator|5 tahun|SMA, SMU/SMK/STM|Penuh Waktu|Teknik,Mekanikal||23 days|201 - 500 pekerja|Manajemen/Konsulting HR|One of our clients (a Trading & Paint Distributor company), looking for Technical & Distributor Painting Line (Japanese Speaker), with requirement below:Education Minimum SMA/SMKExperienced as Technical Engineer in Handling Project Painting LineEx-kenshusei Japan preferableHaving good communication skill in JapaneseHaving great analytical thinking and problem solvingMaking Meeting appointmentPreparing Project scheduleMeeting with customer/Maker regarding projectMonitoring Project working progress
33407|SALES CONSULTANT|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel||||Konsultasi (Bisnis & Manajemen)|Berpengalaman menjadi supervisor / sales mobilMemiliki kemampuan komunikasi yang baikMampu bekerja dalam tekananMemiliki kemampuan negosiasi yang baikPercaya diri & Fokus pada targetMemiliki jaringan yang luasMampu mengelola database lama maupun baruMelakukan pendekatan dengan konsumenDapat mempresentasikan produk dengan baik
33408|JAVA DEVELOPER|Jakarta Raya|IDR|Supervisor/Koordinator|3 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Perangkat Lunak|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Snack, Food, Tax, Comfort Office|27 days|1- 50 pekerja|Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)|DUTIES AND RESPONSIBILITIESThe successful applicant will carry out the following duties and responsibilities:Design and develop solution stacks for IoT Platform.Maintain, optimise and monitor existing systemsAutomate & Create reusable, testable, organised, efficient, and self-documenting code/components.REQUIREMENTSThe successful applicant will have the following experience and skills:Degree qualification in Information Technology, Computer Science, or equivalent relevant experience.At least 3 to 5 years of experience working in a dynamic environment.In-depth experience in pure technical roles in the development of various software applications.Good problem solving, learning attitude, and teamwork.Comfortable with below technical skills:Core Java and Spring BootObject/ Relational Mapping frameworks (JPA, Hibernate, etc.,)RESTful APIs, Web services, API Gateway, DDSDHTML JavaScript framework (Bootstrap, jQuery, Angular JS, React JS, Node JS, etc.,)Maven, GitRDMS server: MySQL, SQL Server, DB2, Oracle.NoSQL: MongoDB, RedisExperience in ELK Stack, TICK Stack, Apache Spark, Kafka, and Data Analytics is a major plus.Ability to work in a fast-paced and agile development environment and learn new technologies/frameworks/stacks.Experience with IoT Platform is a plusExperience in DevOps process is plus
33409|Project Manager - Data Center Construction (A-66143)|Jakarta Selatan|IDR|Manajer/Asisten Manajer|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan||19 days|1- 50 pekerja|Manajemen/Konsulting HR|About The Company:The working venue is in Jakarta Selatan.Our client is a Japanese Data Center Construction company. Currently, they are looking for Project Manager.Job Responsibilities:Managing the project team. Coordinate internal resources and third parties/vendors for the flawless execution of project.Ensure that all projects are delivered on-time, within scope and within budget.Assist in the definition of project scope and objectives, involving all relevant internal stakeholders and ensuring technical feasibility.Ensure resource availability and allocation.Develop a detailed project plan to monitor and track progress.Manage changes to the project scope, project schedule, and project costs using appropriate verification techniques.Report and escalate to management as needed.Manage the relationship with the client and relevant stakeholders and third parties/vendors.Meet with clients to take detailed ordering briefs and clarify specific requirements of each project.Perform risk management to minimize potential risks.Track project performance, specifically to analyze the successful completion of short and long-term goals.Other duties as assigned.Job Requirements:Hold minimum Bachelor Degree in Civil Engineering and Architecture.Experienced on construction control management experience for building type of Data Center for 5 years.Have conversational level of English.[Only CV in English will be processed]
33410|Sales Executive (Denpasar)|Denpasar|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Asuransi kesehatan;Bisnis (contoh: Kemeja);Monday - Saturday|28 days|501 - 1000 pekerja|Elektrikal & Elektronik|Pendidikan mininal SMU, lebih menyukai yang Diploma dan S1.Lebih menyukai yang memiliki pengalaman di bidang grosir dan retail alat-alat listrik.Mempunyai kemampuan untuk melakukan pendekatan dan negosiasi ke customer.Mempunyai jiwa salesmanship.Komunikatif, jujur, rajin, ulet, pantang menyerah, dan bertanggung jawab.Target oriented.Memiliki SIM dan kendaraan sendiri.
33411|Staf Administrasi|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)||SMA, SMU/SMK/STM|Penuh Waktu|Sumber Daya Manusia/Personalia,Staf / Administrasi umum|Parkir;Formil (contoh: Kemeja + Dasi);Senin-Sabtu||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|Di cari utk posisi AdminKualifikasi:SMU sederajatBerkelakuan baik, jujur & bekerja kerasBawa surat berkelakuan baikBawa surat vaksinDomisili Pondok Pinang, Ciputat, Fatmawati, Pondok Cabe dan sekitarnyaTugas dan tanggung jawab:Melakukan kegiatan pembukuan dasarMerencanakan rapat, conference call serta mengatur dan mengelola jalannya rapatMengambil dan mendistribusikan notulen rapatMenjaga file perusahaan baik dalam bentuk fisik maupun digitalMengatur dan menyediakan dokumen, laporan serta informasiMengkoordinasikan ruang kerja,Memelihara dan menata ulang perlengkapan kantorMenyortir dan mendistribusikan suratMenyelesaikan masalah administrasi dengan mengkoordinasikan penyusunan laporan, menganalisis data dan mencari solusiMembalas email atas nama perwakilan perusahaanBertindak sebagai penghubung antar departemenMempersiapkan akomodasi jika ada kegiatan keluar kantor atau keluar kotaMemastikan alat tulis tersedia dengan lengkap di kantorBekerja secara mandiri atau dalam tim pada proyek khusus yang bisa mencakup presentasi, pengiriman surat dan tugas lainnyaKami tidak menjawab chat, persyaratan kirimkan langsung ke :aQualis FabricareKomp. Taman Hijau Baru (Ruko THB 34) Jl. Terusan Gedung Hijau No. 4Pondok IndahJakarta Selatan
33412|RnD Staff|Cikupa|IDR|Pegawai (non-manajemen & non-supervisor)|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Manufaktur,Manufaktur|Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS|26 days|51 - 200 pekerja|Umum & Grosir|Cost Accounting and Project ManagementHave prior knowledge of silicone - rubber compound & production processFollow up new projects with the RND teamVery good mathematic and excel skillsDetails and success orientedCreative and a strong team playerDiscipline as well as energic individualA fast learnerProblem solver
33413|Dokter Aesthetic / Dokter Umum|Yogyakarta|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Layanan Kesehatan,Diagnosa/Lainnya|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)||1- 50 pekerja|Perawatan/Kecantikan/Fitnes|Opportunity:- Driving the future of Beauty Clinic- Improve our service & treatment- Making a differenceRequirements:- Profesi Dokter Umum/ Dokter Aesthetic- Memiliki STR aktif- Berpengalaman minimal 1 tahun / fresh graduate- Memiliki izin berpraktik di Indonesia- Memiliki kemampuan interpersonal dan komunikasi yang baikLokasi:• Jl Magelang KM 5 49A, Yogyakarta• Jl Laksda Adisucipto No 152 (Pm), Yogyakarta• Solo (Februari)
33414|MANDARIN TRANSLATOR|Jawa Tengah|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Kontrak|Sumber Daya Manusia/Personalia,Staf / Administrasi umum||||Manufaktur/Produksi|Kualifikasi : 工作要求·        Usia 20-38 Tahun年纪20-38岁之间·        Diwajibkan bisa berbahasa Mandarin lisan (Bisa baca dan Tulis lebih bagus)·        可以翻译从中文到印尼语，可以翻译双语文件·        Berpengalaman menjadi Translator minimal 1-2 Tahun, tetapi untuk lulusan baru di persilahkan melamar.·        工作经验最少1-2年，我们欢迎应届毕业生加入·        Bisa mengoprasikan komputer seperti Microsoft word, Microsoft Excel, Microsoft Power point·        会电脑办公自动化软件，EXCEL WORD PPT·        Rajin, jujur, disiplin, dan memiliki kinerja yang cepat serta bertanggung jawab.·        努力，老实，有责任心·        Memiliki sertifikat Vaksin minimal dosis ke-1持有疫苗证书一针最少
33415|Telemarketing Games Online Website|Jakarta Barat|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Telesales/Telemarketing||||Hiburan/Media|Dibutuhkan Telemarketing Games Online ( Website ).Lokasi : Muarakarang (Jakarta Utara) atau Palem (Jakarta Barat)Min usia 18 tahun, max usia 30 tahun.Lokasi: Jakarta Utara ( Muarakarang )Syarat:Usia min 18 tahun - 30 tahun.Pekerja kerasJujurDapat berkomunikasi dengan baikSopan dalam bertutur kataDapat bekerja secara teamDisiplinMemiliki etos kerja yang tinggiRincian Gaji :Gaji telemarketing : 3.500.000Uang kerajinan : 500.000 ( apabila tidak ada izin selama 1 bulan )Makan tersedia ( cathering ) dari kantor untuk lokasi muarakarang.Uang makan 25k/hari untuk lokasi palem.Belum termasuk bonus.Kerja keras tidak akan menghianati hasil.
33416|Math Teacher (Bandung Kota Baru Parahyangan)|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pendidikan/Pelatihan,Pendidikan|Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|28 days|51 - 200 pekerja|Pendidikan|Candidate must possess at least a Bachelor's Degree, Education/Teaching/Training, Mathematics, or equivalent.Candidate must be willing to work in Kota Baru Parahyangan padalarang kab. bandung baratRequired skill(s): Teaching MathematicsCandidate must be able to teach Mathematics in English.Love teaching and able to teach English to children age 5-15 years old.Honest, Discipline, communicative, attractive, creative, and good in team work.Preferably having 1 year(s) of working experience in the related field.Fresh graduates are welcome to apply.Full Time position(s) available.
